account_code,account_name,inferred_type,inferred_group,parent_note
4801,เจ้าหนี้ตามสัญญาเช่าทางการเงิน,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4901,ภาระผูกพันผลประโยชน์พนักงาน,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4911,ประมาณการหนี้สินระยะยาว,LIABILITY,LIABILITY,from TB row order; no explicit parent id
5000,รายได้รวมภาษีมูลค่าเพิ่ม,REVENUE,REVENUE,from TB row order; no explicit parent id
5001,รายได้จากการขาย,REVENUE,REVENUE,from TB row order; no explicit parent id
5002,รายได้จากการให้เช่าเครื่องจักรและอุปกรณ์,REVENUE,REVENUE,from TB row order; no explicit parent id
5003,รายได้จากค่าบริการอื่น ๆ,REVENUE,REVENUE,from TB row order; no explicit parent id
5101,สินค้ารับคืนและส่วนลด,REVENUE,REVENUE,from TB row order; no explicit parent id
6001,ต้นทุนขาย-เครื่องจักรและอุปกรณ์,EXPENSE,COGS,from TB row order; no explicit parent id
6002,ต้นทุนขาย-ลูกกุญแจ,EXPENSE,COGS,from TB row order; no explicit parent id
6003,ต้นทุนขาย-วัสดุรองเท้า,EXPENSE,COGS,from TB row order; no explicit parent id
6004,ต้นทุนขาย-แม่กุญแจ,EXPENSE,COGS,from TB row order; no explicit parent id
6005,ต้นทุนขาย-เบ็ดเตล็ด,EXPENSE,COGS,from TB row order; no explicit parent id
6006,ต้นทุนขาย-วัสดุสิ้นเปลือง,EXPENSE,COGS,from TB row order; no explicit parent id
6021,ต้นทุนขาย-ชิ้นส่วนและอะไหล่,EXPENSE,COGS,from TB row order; no explicit parent id
6031,ต้นทุนขาย-ชิ้นส่วนและอะไหล่,EXPENSE,COGS,from TB row order; no explicit parent id
6051,ซื้อวัสดุและอุปกรณ์,EXPENSE,COGS,from TB row order; no explicit parent id
6052,สินค้าส่งคืนและส่วนลด,EXPENSE,COGS,from TB row order; no explicit parent id
6061,ค่าแรง,EXPENSE,COGS,from TB row order; no explicit parent id
6091,ค่าเผื่อสินค้าล้าสมัย,EXPENSE,COGS,from TB row order; no explicit parent id
6101,ค่าเช่าและค่าบริการ - ร้านที่จำหน่ายสินค้า,EXPENSE,COGS,from TB row order; no explicit parent id
6111,ค่าไฟ - ร้านที่จำหน่ายสินค้า,EXPENSE,COGS,from TB row order; no explicit parent id
6121,ค่าภาษีโรงเรือน - ร้านที่จำหน่ายสินค้า,EXPENSE,COGS,from TB row order; no explicit parent id
6131,ค่าประกันภัย - ร้านที่จำหน่ายสินค้า,EXPENSE,COGS,from TB row order; no explicit parent id
6141,ค่าโทรศัพท์ - ร้านที่จำหน่ายสินค้า,EXPENSE,COGS,from TB row order; no explicit parent id
6151,ค่าใช้จ่ายทางการเงิน - ร้านที่จำหน่ายสินค้า,EXPENSE,COGS,from TB row order; no explicit parent id
6161,ค่าใช้จ่ายอื่น ๆ - ร้านที่จำหน่ายสินค้า,EXPENSE,COGS,from TB row order; no explicit parent id
6171,ค่าใช้จ่ายร้านที่ให้เช่าเครื่องจักร,EXPENSE,COGS,from TB row order; no explicit parent id
6201,เงินเดือน และค่าจ้าง,EXPENSE,COGS,from TB row order; no explicit parent id
6211,ผลตอบแทนจากยอดขาย,EXPENSE,COGS,from TB row order; no explicit parent id
6221,เงินที่จ่ายสมทบเข้าประกันสังคม,EXPENSE,COGS,from TB row order; no explicit parent id
6231,ค่าใช้จ่ายอื่น ๆ เกี่ยวกับพนักงานขาย,EXPENSE,COGS,from TB row order; no explicit parent id
6241,ค่าฝึกอบรมพนักงานขาย,EXPENSE,COGS,from TB row order; no explicit parent id
